model_specs,fold_index,amex_metric,AUC,fold_train_start_time,fold_train_end_time,fold_train_duration,lr,sampling,data_type,seed,batch_size,es_patience,log_time
original_1pct_0.0001_42_128_3_512_1_0.2_0.01_1.0_0.5_0.01,0,0.6151813330287326,0.8919158724942491,2026-01-18 01:26:03.897211,2026-01-18 01:28:05.161089,0 days 00:02:01.263878,0.0001,1pct,original,42,128,3,2026-01-18 01:28:05
original_1pct_0.0001_42_128_3_512_1_0.2_0.01_1.0_0.5_0.01,1,0.5902826623489706,0.8670632525161616,2026-01-18 01:28:05.176267,2026-01-18 01:30:04.913856,0 days 00:01:59.737589,0.0001,1pct,original,42,128,3,2026-01-18 01:30:04
original_1pct_0.0001_42_128_3_512_1_0.2_0.01_1.0_0.5_0.01,2,0.5069833663451291,0.8555628993170301,2026-01-18 01:30:04.923300,2026-01-18 01:32:02.016675,0 days 00:01:57.093375,0.0001,1pct,original,42,128,3,2026-01-18 01:32:02
original_1pct_0.0001_42_128_3_512_1_0.2_0.01_1.0_0.5_0.01,3,0.4145287358174332,0.7772967614011895,2026-01-18 01:32:02.031268,2026-01-18 01:34:00.626866,0 days 00:01:58.595598,0.0001,1pct,original,42,128,3,2026-01-18 01:34:00
original_1pct_0.0001_42_128_3_512_1_0.2_0.01_1.0_0.5_0.01,4,0.5710817282006089,0.860663141661159,2026-01-18 01:34:00.643360,2026-01-18 01:35:34.421750,0 days 00:01:33.778390,0.0001,1pct,original,42,128,3,2026-01-18 01:35:34
