lr,test mse,test mae,best epoch,best valid loss
0.001,0.2805071007460356,0.3489745066811641,13,0.37
0.0001,0.20862644615893564,0.27910361252725124,58,0.2601
0.001,0.2805071007460356,0.3489745066811641,13,0.37
0.0001,0.20862644615893564,0.27910361252725124,58,0.2601
1e-05,0.23231093740711609,0.3048160932958126,41,0.271
